name,type1,type2,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Bulbasaur,grass,poison,49.0,49.0,65.0,65.0,45.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Ivysaur,grass,poison,62.0,63.0,80.0,80.0,60.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Venusaur,grass,poison,100.0,123.0,122.0,120.0,80.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Charizard,fire,flying,104.0,78.0,159.0,115.0,100.0,0.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Butterfree,bug,flying,45.0,50.0,90.0,80.0,70.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Weedle,bug,poison,35.0,30.0,20.0,20.0,50.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Kakuna,bug,poison,25.0,50.0,25.0,25.0,35.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Beedrill,bug,poison,150.0,40.0,15.0,80.0,145.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Pidgey,normal,flying,45.0,40.0,35.0,35.0,56.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeotto,normal,flying,60.0,55.0,50.0,50.0,71.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeot,normal,flying,80.0,80.0,135.0,80.0,121.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
